board_id,board_name,event,status,error
18405214449,Sample - Template,create_item,skipped,
18405214449,Sample - Template,change_column_value,skipped,
18405214449,Sample - Template,item_moved_to_any_group,skipped,
18405194272,Tabbed Mobile Navigation Structure,create_item,skipped,
18405194272,Tabbed Mobile Navigation Structure,change_column_value,skipped,
18405194272,Tabbed Mobile Navigation Structure,item_moved_to_any_group,skipped,
18405194208,PDP Variant Change,create_item,skipped,
18405194208,PDP Variant Change,change_column_value,skipped,
18405194208,PDP Variant Change,item_moved_to_any_group,skipped,
18405194017,Mini-Cart (One-Step Bundle Upgrade),create_item,skipped,
18405194017,Mini-Cart (One-Step Bundle Upgrade),change_column_value,skipped,
18405194017,Mini-Cart (One-Step Bundle Upgrade),item_moved_to_any_group,skipped,
18404994048,✨ Pre-order 2.0 לוגיסטיקה,create_item,skipped,
18404994048,✨ Pre-order 2.0 לוגיסטיקה,change_column_value,skipped,
18404994048,✨ Pre-order 2.0 לוגיסטיקה,item_moved_to_any_group,skipped,
18404930970,✨ Personal Influencer Tags,create_item,skipped,
18404930970,✨ Personal Influencer Tags,change_column_value,skipped,
18404930970,✨ Personal Influencer Tags,item_moved_to_any_group,skipped,
18404930933,✨ חוויית צ׳קאאוט - פיתוח מרקטינג,create_item,skipped,
18404930933,✨ חוויית צ׳קאאוט - פיתוח מרקטינג,change_column_value,skipped,
18404930933,✨ חוויית צ׳קאאוט - פיתוח מרקטינג,item_moved_to_any_group,skipped,
18404395098,Team Technology 💻,create_item,skipped,
18404395098,Team Technology 💻,change_column_value,skipped,
18404395098,Team Technology 💻,item_moved_to_any_group,skipped,
18404065092,15% OFF יוני,create_item,skipped,
18404065092,15% OFF יוני,change_column_value,skipped,
18404065092,15% OFF יוני,item_moved_to_any_group,skipped,
18404064219,"כפל נקודות + מרצ' מתנה (מעל X ש""ח)",create_item,skipped,
18404064219,"כפל נקודות + מרצ' מתנה (מעל X ש""ח)",change_column_value,skipped,
18404064219,"כפל נקודות + מרצ' מתנה (מעל X ש""ח)",item_moved_to_any_group,skipped,
18404064134,EB וניל עוגיות + שייקר וכפית מתנה,create_item,skipped,
18404064134,EB וניל עוגיות + שייקר וכפית מתנה,change_column_value,skipped,
18404064134,EB וניל עוגיות + שייקר וכפית מתנה,item_moved_to_any_group,skipped,
18404063792,יום האם- לילה לבן (18% הנחה- גלגל המזל),create_item,skipped,
18404063792,יום האם- לילה לבן (18% הנחה- גלגל המזל),change_column_value,skipped,
18404063792,יום האם- לילה לבן (18% הנחה- גלגל המזל),item_moved_to_any_group,skipped,
18403617846,PR BOX- END-OF-YEAR GAME KIT,create_item,skipped,
18403617846,PR BOX- END-OF-YEAR GAME KIT,change_column_value,skipped,
18403617846,PR BOX- END-OF-YEAR GAME KIT,item_moved_to_any_group,skipped,
18403287825,Build Your Bundle – ‎15%‎ OFF,create_item,skipped,
18403287825,Build Your Bundle – ‎15%‎ OFF,change_column_value,skipped,
18403287825,Build Your Bundle – ‎15%‎ OFF,item_moved_to_any_group,skipped,
18403028952,השקת קטגוריית מוצרים בנקודות (כסף + נק׳),create_item,skipped,
18403028952,השקת קטגוריית מוצרים בנקודות (כסף + נק׳),change_column_value,skipped,
18403028952,השקת קטגוריית מוצרים בנקודות (כסף + נק׳),item_moved_to_any_group,skipped,
18403028641,מארזי משפיעניות למגזר הערבי,create_item,skipped,
18403028641,מארזי משפיעניות למגזר הערבי,change_column_value,skipped,
18403028641,מארזי משפיעניות למגזר הערבי,item_moved_to_any_group,skipped,
18402491434,3+1 גאמיז,create_item,skipped,
18402491434,3+1 גאמיז,change_column_value,skipped,
18402491434,3+1 גאמיז,item_moved_to_any_group,skipped,
18401538591,15% OFF מאי,create_item,skipped,
18401538591,15% OFF מאי,change_column_value,skipped,
18401538591,15% OFF מאי,item_moved_to_any_group,skipped,
18401538548,15% OFF אפריל,create_item,skipped,
18401538548,15% OFF אפריל,change_column_value,skipped,
18401538548,15% OFF אפריל,item_moved_to_any_group,skipped,
18401534951,FRESH START – SPRING RESET,create_item,skipped,
18401534951,FRESH START – SPRING RESET,change_column_value,skipped,
18401534951,FRESH START – SPRING RESET,item_moved_to_any_group,skipped,
18401386476,קמפיינים- וולנס קלאב,create_item,skipped,
18401386476,קמפיינים- וולנס קלאב,change_column_value,skipped,
18401386476,קמפיינים- וולנס קלאב,item_moved_to_any_group,skipped,
18401365463,נקודות- קמפיינים,create_item,skipped,
18401365463,נקודות- קמפיינים,change_column_value,skipped,
18401365463,נקודות- קמפיינים,item_moved_to_any_group,skipped,
18400557379,✨ באנר קוקיז ותיעוד הסכמות‎,create_item,skipped,
18400557379,✨ באנר קוקיז ותיעוד הסכמות‎,change_column_value,skipped,
